Commune,Date de fin d'autorisation,Date début validité,Date fin validité,Exploitation en eau,Exploitée par,Identifiant,Latitude,Longitude,Nom,Numéro S3IC,Produits,Site en activité,Substances,Type,Volume total (kt),Volume total (m³)
CAPENS,2030,2016-10-25T00:00:00,2030-10-25T00:00:00,Non,MIDI PYRENEES GRANULATS,70160,43.343707,1.246298,"Les Quarts, Pratmiéja, Biros, Peguillian",0006800275,Granulat alluvionnaire,Oui,"Sable, graviers, galet",AP de d'extension/renouvellement,,4323803
TREMEVEN,2051,2021-04-13T00:00:00,2051-04-13T00:00:00,Oui,CARRIERES RAULT,70119,48.663252,-3.034723,Coat-Men,0005502423,Concassé de roche plutonique,Oui,Leptynite,AP de d'extension/renouvellement,,
SAINT-ANDRE-DE-LA-MARCHE,2047,2017-06-26T00:00:00,2047-06-26T00:00:00,Oui,CARRIERE DES QUATRE ETALONS,70240,47.095906,-1.029937,Les Quatre Etalons,0006301372,Concassé de roche volcanique,Oui,Gabbro,AP de d'extension/renouvellement,17000,2600000
VALENTINE,2038,2019-03-22T00:00:00,2038-08-30T00:00:00,Oui,DRAGAGES DE VALENTINE,70151,43.09944979270933,0.6874717099933167,Las Nodès - Ayguaduts,0006800635,Granulat alluvionnaire,Oui,"Sable, graviers, galet",AP de d'extension/renouvellement,,
SAINT-BRANDAN,2036,2006-10-19T00:00:00,2036-10-19T00:00:00,Non,ANDRE  BIDAULT SA,70134,48.391978,-2.834518,La Vallée,0005502383,Granulat meuble divers,Oui,Arènes granitiques,AP de d'extension/renouvellement,,
LIVERNON,2036,2016-07-28T00:00:00,2036-07-28T00:00:00,Oui,STAP,70197,44.631808,1.830687,Les Grézals,0006801002,Concassé de roche calcaire,Oui,Calcaire,AP de renouvellement,2000,
MONNIERES,2037,2009-07-03T00:00:00,,Non,SOCIETE DES CALCAIRES DE L'EST,69923,47.114482,5.467667,Mont Roland,0005900907,Concassé de roche calcaire,Oui,Calcaire,AP de changement d'exploitant,,
POMMERIT-JAUDY,2039,2009-10-14T00:00:00,2039-10-14T00:00:00,Oui,CARRIERES DU JAUDY,70148,48.722362,-3.257972,Quélédern,0005502368,Concassé de roche métamorphique,Oui,Cornéenne,AP de d'extension/renouvellement,,
SAINT-GEOURS-D'AURIBAT,2049,2019-05-29T00:00:00,2049-05-29T00:00:00,Non,EDILIANS,71455,43.764944,-0.834537,"Arbageas, Péchine",0005204160,Terre cuite,Oui,Roches argileuses (argiles),AP de d'extension/renouvellement,3010000,1505000
SAINT-PIERRE-MONTLIMART,2045,2015-08-21T00:00:00,2045-08-21T00:00:00,Oui,CARRIERE DE JOUSSELIN,70116,47.268402,-1.043407,Jousselin,0006300392,Concassé de roche métamorphique,Oui,Schiste,AP de d'extension/renouvellement,,
